,,ARLINGTON ,DALLAS,GRAPEVINE,KELLER,COMMMENTS
6-Feb-26,Friday evening,68 PALE AMERICAN ALE,72 AMERICAN IPA,60 Strong European Beer,77 European Sour Ale,BIG BEER NIGHT
7-Feb-26,Saturday Morning,53 Pale German Beer,55 Kolsch and Blonde,75 HAZY AND EXPERIMENTAL IPA,59 Dark European Lager,
7-Feb-26,Saturday Afternoon,61 GERMAN WHEAT BEER,69 AMBER AND BROWN AMERICAN BEER,53 Commonwealth Beer,71 AMERICAN PORTER AND STOUT,
9-Feb-26,Monday Evening,,,73 SPECIALTY IPA ,,
,,,,,,
13-Feb-26,Friday evening,67 STRONG BRITISH ALE,75 STRONG AMERICAN ALE,71 IMPERIAL STOUT,76 Barleywines,BIG BEER NIGHT
14-Feb-26,Saturday Morning,54 Pale European Lager,90 MELOMEL,52 LIGHT ALE,50 Pale Lager,
14-Feb-26,Saturday afternoon,57 European Ambers and Bocks,89 TRADITIONAL MEAD,,56 Oktoberfest,
16-Feb-26,Monday Evening,,,85 Smoke Beer,,
,,,,,,
20-Feb-26,Friday evening,81 STRONG DARK BELGAIN ALE,80 STRONG LIGHT BELGIAN ALE,91 SPICED AND SPECIALTY MEAD,BYE WEEKEND,BIG BEER NIGHT
21-Feb-26,Saturday morning,83 SPICE HERB VEGETABLE BEER,65 STOUT AND PORTER,82 FRUIT BEER,BYE WEEKEND,
21-Feb-26,Saturday afternoon,64 SCOTTISH AND IRISH,79 Belgian Blonde and Saison,,BYE WEEKEND,
,,,,,,
,,,,,,
27-Feb-26,Friday evening,58 Amber Bitter European Beer,86 WOOD AGED BEER,85 Autumn Winter Seasonal,87 AMERICAN WILD ALE,BIG BEER NIGHT
28-Feb-26,Saturday Morning,63 British Bitter,89 SPECIALTY BEER,93 SPECIALTY CIDER AND PERRY,66 BRITISH STOUT,
28-Feb-26,Saturday Afternoon,92 CIDER AND PERRY,78 Belgian Ale,,63 Brown British Beer,
,,,,,,
,,,,,,
,TABLES JUDGED,12,12,11,9,44
,,,,,,
,,,,,,
,,,,,,
,,,,,,
BIG BEERS,,,,,,
NEED TO JUDGE EARLY AS BEST WHEN FRESH,,,,,,