Medal Category Name,Table Number,BJCP Style Name,BJCP Style Id,JUDGE FRESH
Pale Lager,50,American Light Lager,01A,X
Pale Lager,50,American Lager,01B,X
Pale Lager,50,International Pale Lager,02A,X
Pale Lager,50,Historic Pre-Prohibition Lager,27A6,X
,,,,
Light Ale,51,Cream Ale,01C,X
Light Ale,51,American Wheat Beer,01D,X
,,,,
Commonwealth Beer,52,British Golden Ale,12A,X
Commonwealth Beer,52,Australian Sparkling Ale,12B,X
Commonwealth Beer,52,English IPA,12C,
Commonwealth Beer,52,New Zealand Pilsner,LSX5,X
,,,,
Pale German Beer,53,Munich Helles,04A,X
Pale German Beer,53,German Leichtbier,05A,X
Pale German Beer,53,German Helles Exportbier,05C,X
,,,,
Pale European Lager,54,Czech Pale Lager,03A,X
Pale European Lager,54,Czech Premium Pale Lager,03B,X
Pale European Lager,54,German Pils,05D,X
,,,,
Kolsch and Blonde,55,Kolsch,05B,X
Kolsch and Blonde,55,Blonde Ale,18A,X
,,,,
Oktoberfest,56,Festbier,04B,
Oktoberfest,56,Marzen,06A,
,,,,
European Ambers and Bocks,57,International Amber Lager,02B,
European Ambers and Bocks,57,Czech Amber Lager,03C,
European Ambers and Bocks,57,Helles Bock,04C,
European Ambers and Bocks,57,Dunkles Bock,06C,
,,,,
Amber Bitter European Beer,58,Vienna Lager,07A,
Amber Bitter European Beer,58,Altbier,07B,
Amber Bitter European Beer,58,Kellerbier,27A1,
,,,,
Dark European Lager,59,International Dark Lager,02C,
Dark European Lager,59,Czech Dark Lager,03D,
Dark European Lager,59,Munich Dunkel,08A,
Dark European Lager,59,Schwarzbier,08B,
,,,,
Strong European Beer,60,Doppelbock,09A,
Strong European Beer,60,Eisbock,09B,
Strong European Beer,60,Baltic Porter,09C,
,,,,
German Wheat Beer,61,Weissbier,10A,X
German Wheat Beer,61,Dunkles Weissbier,10B,X
German Wheat Beer,61,Weizenbock,10C,X
German Wheat Beer,61,Historic Roggenbier,27A8,X
,,,,
British Bitter,62,Ordinary Bitter,11A,
British Bitter,62,Best Bitter,11B,
British Bitter,62,Strong Bitter,11C,
,,,,
Brown British Beer,63,Dark Mild,13A,
Brown British Beer,63,British Brown Ale,13B,
Brown British Beer,63,Historic London Brown Ale,27A4,
,,,,
Scottish and Irish Ale,64,Scottish Light,14A,
Scottish and Irish Ale,64,Scottish Heavy,14B,
Scottish and Irish Ale,64,Scottish Export,14C,
Scottish and Irish Ale,64,Irish Red Ale,15A,
,,,,
Stout and Porter,65,English Porter,13C,
Stout and Porter,65,Irish Stout,15B,
Stout and Porter,65,Irish Extra Stout,15C,
Stout and Porter,65,Foreign Extra Stout,16D,
,,,,
British Stout,66,Sweet Stout,16A,
British Stout,66,Oatmeal Stout,16B,
British Stout,66,Tropical Stout,16C,
,,,,
Strong British Ale,67,British Strong Ale,17A,
Strong British Ale,67,Burton Ale,17A1,
Strong British Ale,67,Old Ale,17B,
Strong British Ale,67,Wee Heavy,17C,
,,,,
Pale American Ale,68,American Pale Ale,18B,X
Pale American Ale,68,Dorada Pampeana,LSX1,X
,,,,
Amber And Brown American Beer,69,American Amber Ale,19A,X
Amber And Brown American Beer,69,California Common,19B,X
Amber And Brown American Beer,69,American Brown Ale,19C,X
Amber And Brown American Beer,69,Historic Kentucky Common,27A2,X
Amber And Brown American Beer,69,Historic Pre-Prohibition Porter,27A7,X
,,,,
American Porter And Stout,70,American Porter,20A,
American Porter And Stout,70,American Stout,20B,
,,,,
Imperial Stout,71,Imperial Stout,20C,
,,,,
American IPA,72,American IPA,21A,X
,,,,
Specialty IPA,73,Belgian IPA,21B1,X
Specialty IPA,73,Black IPA,21B2,X
Specialty IPA,73,Brown IPA,21B3,X
Specialty IPA,73,Red IPA,21B4,X
Specialty IPA,73,Rye IPA,21B5,X
Specialty IPA,73,White IPA,21B6,X
Specialty IPA,73,Brut IPA,21B7,X
Specialty IPA,73,IPA Argenta,LSX2,X
,,,,
Hazy and Experimental IPA,74,Specialty IPA,21B,X
Hazy and Experimental IPA,74,Hazy IPA,21C,X
,,,,
Strong American Ale,75,Double IPA,22A,
Strong American Ale,75,American Strong Ale,22B,
Strong American Ale,75,Wheatwine,22D,
,,,,
Barleywines,76,English Barleywine,17D,
Barleywines,76,American Barleywine,22C,
,,,,
European Sour Ale,77,Berliner Weisse,23A,
European Sour Ale,77,Flanders Red Ale,23B,
European Sour Ale,77,Oud Bruin,23C,
European Sour Ale,77,Lambic,23D,
European Sour Ale,77,Gueuze,23E,
European Sour Ale,77,Fruit Lambic,23F,
European Sour Ale,77,Gose,23G,
,,,,
Belgian Ale,78,Witbier,24A,
Belgian Ale,78,Belgian Pale Ale,24B,
Belgian Ale,78,Biere De Garde,24C,
Belgian Ale,78,Trappist Single,26A,
,,,,
Belgian Blonde and Saison,79,Belgian Blond Ale,25A,
Belgian Blonde and Saison,79,Saison,25B,
,,,,
Strong Light Belgian Ale,80,Belgian Golden Strong Ale,25C,
Strong Light Belgian Ale,80,Belgian Tripel,26C,
,,,,
Strong Dark Belgian Ale,81,Belgian Dubbel,26B,
Strong Dark Belgian Ale,81,Belgian Dark Strong Ale,26D,
,,,,
Fruit Beer,82,Fruit Beer,29A,
Fruit Beer,82,Fruit And Spice Beer,29B,
Fruit Beer,82,Specialty Fruit Beer,29C,
Fruit Beer,82,Grape Ale,29D,
Fruit Beer,82,Italian Grape Ale,LSX3,
,,,,
Spice Herb Vegetable Beer,83,Spice Herb Vegetable Beer,30A,
Spice Herb Vegetable Beer,83,Specialty Spice Beer,30D,
,,,,
Autumn Winter Seasonal,84,Autumn Seasonal Beer,30B,
Autumn Winter Seasonal,84,Winter Seasonal Beer,30C,
,,,,
Smoke Beer,85,Rauchbier,06B,
Smoke Beer,85,Historic Lichtenhainer,27A3,
Smoke Beer,85,Historic Piwo Grodziskie,27A5,
Smoke Beer,85,Classic Style Smoked Beer,32A,
Smoke Beer,85,Specialty Smoked Beer,32B,
,,,,
Wood Aged Beer,86,Wood Aged Beer,33A,
Wood Aged Beer,86,Specialty Wood Aged Beer,33B,
,,,,
American Wild Ale,87,Brett Beer,28A,
American Wild Ale,87,Mixed Fermentation Sour Beer,28B,
American Wild Ale,87,Wild Specialty Beer,28C,
American Wild Ale,87,Straight Sour Beer,28D,
American Wild Ale,87,Catharina Sour,LSX4,
,,,,
Specialty Beer,88,Historical Beer,27A,
Specialty Beer,88,Historic Sahti,27A9,
Specialty Beer,88,Alternative Grain Beer,31A,
Specialty Beer,88,Alternative Sugar Beer,31B,
Specialty Beer,88,Commercial Specialty Beer,34A,
Specialty Beer,88,Mixed Style Beer,34B,
Specialty Beer,88,Experimental Beer,34C,
,,,,
Traditional Mead,89,Dry Mead *,M1A,
Traditional Mead,89,Semi Sweet Mead *,M1B,
Traditional Mead,89,Sweet Mead *,M1C,
,,,,
Melomel,90,Cyser,M2A,
Melomel,90,Pyment *,M2B,
Melomel,90,Berry Mead *,M2C,
Melomel,90,Stone Fruit Mead *,M2D,
Melomel,90,Melomel *,M2E,
,,,,
Spiced And Specialty Mead,91,Fruit And Spice Mead *,M3A,
Spiced And Specialty Mead,91,Spice Herb Vegetable Mead *,M3B,
Spiced And Specialty Mead,91,Braggot *,M4A,
Spiced And Specialty Mead,91,Historical Mead,M4B,
Spiced And Specialty Mead,91,Experimental Mead,M4C,
,,,,
Cider And Perry,92,New World Cider,C1A,
Cider And Perry,92,English Cider,C1B,
Cider And Perry,92,French Cider,C1C,
Cider And Perry,92,New World Perry,C1D,
Cider And Perry,92,Traditional Perry,C1E,
,,,,
Specialty Cider And Perry,93,New England Cider,C2A,
Specialty Cider And Perry,93,Cider With Other Fruit *,C2B,
Specialty Cider And Perry,93,Apple Wine,C2C,
Specialty Cider And Perry,93,Ice Cider,C2D,
Specialty Cider And Perry,93,Cider With Herbs/Spices *,C2E,
Specialty Cider And Perry,93,Specialty Cider/Perry *,C2F,